"","Inter-Patient connection","anzahl_einzigartiger_Namen"
"1","45-51LJ1LV1-44",1328
"2","31-58KJ1KV3-20",32
"3","43-30KJ1KV1-39",9
"4","63-53KJ4KV1-9",9
"5","43-30KJ1KV1-5",8
"6","43-30KJ3KV1-33",8
"7","43-7LJ3LV6-57",8
"8","43-23KJ1KV1-5",7
"9","43-30KJ4KV1-33",7
"10","43-30KJ5KV1-33",7
"11","63-13KJ1KV1-39",7
"12","23-13KJ1KV1-39",6
"13","43-30LJ3LV6-57",6
"14","44-39LJ3LV2-23",6
"15","61-18LJ3LV2-8",6
"16","65-51LJ3LV1-44",6
"17","23-13KJ3KV1-39",5
"18","41-69KJ4KV3-20",5
"19","43-30KJ2KV1-39",5
"20","44-39LJ1LV2-14",5
"21","44-59KJ2KV3-20",5
"22","63-30LJ2LV1-51",5
"23","63-9LJ2LV3-21",5
"24","43-23KJ4KV1-5",4
"25","43-30KJ1KV3-20",4
"26","63-66KJ4KV3-15",4
"27","23-13KJ5KV1-39",3
"28","33-30KJ1KV1-5",3
"29","35-51KJ1KV1-39",3
"30","41-69KJ5KV3-11",3
"31","43-15KJ3KV1-39",3
"32","43-21LJ3LV6-57",3
"33","43-23KJ2KV2-30",3
"34","43-30-3KJ4KV1-33",3
"35","43-30KJ1KV1-27",3
"36","43-30KJ1KV3-15",3
"37","43-30KJ4KV3-20",3
"38","43-30LJ3LV3-21",3
"39","43-53KJ1KV3-15",3
"40","43-64DKJ4KV1-39",3
"41","44-31KJ4KV1-33",3
"42","55-51LJ3LV1-44",3
"43","61-69LJ2LV1-40",3
"44","63-23LJ3LV1-47",3
"45","63-30KJ3KV3-20",3
"46","63-30LJ3LV1-44",3
"47","63-48KJ1KV3-20",3
"48","63-49KJ3KV2-28",3
"49","63-53KJ2KV3-20",3
"50","23-13KJ2KV1-39",2
"51","23-15KJ1KV1-33",2
"52","41-18KJ1KV3-20",2
"53","41-18KJ2KV3-11",2
"54","41-18LJ3LV1-47",2
"55","41-2KJ2KV4-1",2
"56","41-46KJ1KV4-1",2
"57","41-46LJ3LV6-57",2
"58","41-69KJ2KV2-28",2
"59","41-69LJ2LV1-40",2
"60","43-15KJ1KV1-39",2
"61","43-21LJ2LV1-44",2
"62","43-21LJ3LV2-14",2
"63","43-23KJ2KV3-11",2
"64","43-23KJ3KV3-15",2
"65","43-23KJ4KV3-11",2
"66","43-23KJ5KV2-28",2
"67","43-23LJ3LV1-47",2
"68","43-30KJ2KV1-33",2
"69","43-30KJ2KV3-20",2
"70","43-30LJ1LV2-14",2
"71","43-30LJ2LV2-14",2
"72","43-30LJ2LV6-57",2
"73","43-33LJ1LV3-21",2
"74","43-33LJ3LV6-57",2
"75","43-48KJ5KV3-11",2
"76","43-53LJ3LV2-23",2
"77","43-7LJ3LV2-11",2
"78","43-7LJ3LV2-8",2
"79","43-7LJ3LV7-46",2
"80","43-9KJ1KV1-39",2
"81","44-39KJ1KV3-20",2
"82","44-39KJ4KV1-33",2
"83","44-39KJ4KV3-11",2
"84","44-39LJ2LV6-57",2
"85","44-4LJ1LV2-14",2
"86","51-18LJ2LV1-40",2
"87","51-18LJ3LV2-23",2
"88","51-69KJ1KV1-39",2
"89","53-23KJ4KV1-33",2
"90","53-33KJ1KV1-39",2
"91","61-24KJ1KV1-16",2
"92","61-69KJ3KV1-33",2
"93","63-11LJ3LV1-44",2
"94","63-23LJ3LV2-8",2
"95","63-30KJ1KV1-39",2
"96","63-30KJ2KV2-28",2
"97","63-30KJ4KV3-11",2
"98","63-30LJ1LV1-40",2
"99","63-30LJ1LV2-14",2
"100","63-30LJ3LV1-47",2
"101","63-9KJ2KV2-28",2
"102","64-39KJ4KV1-9",2
"103","65-51LJ3LV2-23",2
